NumAxe Jour Diam     X1       Y1       Z1      X2       Y2       Z2
    2    27    0.43   18.99  202.03   49.24   18.19  206.87   48.24
    2    27    0.43   18.19  206.87   48.24   16.95  211.69   47.81
    2    28    0.43   16.95  211.69   47.81   15.19  216.37   47.63
    2    28    0.43   15.19  216.37   47.63   13.94  221.16   46.97
    2    28    0.43   13.94  221.16   46.97   12.14  225.83   46.96
    2    29    0.43   12.14  225.83   46.96    9.83  230.24   46.55
    2    29    0.43    9.83  230.24   46.55    7.34  234.50   45.70
    2    29    0.43    7.34  234.50   45.70    5.06  238.94   45.57
    2    30    0.43    5.06  238.94   45.57    2.37  243.14   45.99
    2    30    0.43    2.37  243.14   45.99   -0.10  247.49   45.89
    2    30    0.43   -0.10  247.49   45.89   -2.88  251.64   45.85
    3    14    0.37   -6.86    2.46   54.30   -5.99    7.05   56.08
    3    14    0.37   -5.99    7.05   56.08   -5.34   11.47   58.32
    3    15    0.37   -5.34   11.47   58.32   -4.90   15.68   60.98
    3    15    0.37   -4.90   15.68   60.98   -4.19   20.03   63.34
    3    15    0.37   -4.19   20.03   63.34   -3.43   24.10   66.14
    3    16    0.37   -3.43   24.10   66.14   -2.87   28.13   69.06
    3    16    0.37   -2.87   28.13   69.06   -1.88   32.21   71.76
    3    17    0.37   -1.88   32.21   71.76   -0.53   36.10   74.60
    3    17    0.37   -0.53   36.10   74.60    0.83   39.62   77.88
    3    17    0.37    0.83   39.62   77.88    2.34   43.51   80.64
    3    18    0.37    2.34   43.51   80.64    4.10   47.00   83.76
    3    18    0.37    4.10   47.00   83.76    5.97   50.88   86.30
    3    19    0.37    5.97   50.88   86.30    7.59   54.75   89.02
    3    19    0.37    7.59   54.75   89.02    9.77   58.56   91.42
    3    19    0.37    9.77   58.56   91.42   12.40   62.29   93.45
    3    20    0.37   12.40   62.29   93.45   14.87   65.94   95.82
    3    20    0.37   14.87   65.94   95.82   17.12   69.99   97.69
    3    21    0.37   17.12   69.99   97.69   18.81   74.07  100.03
    3    21    0.37   18.81   74.07  100.03   19.98   78.02  102.87
    3    21    0.37   19.98   78.02  102.87   21.31   81.92  105.70
    3    22    0.37   21.31   81.92  105.70   23.29   85.69  108.32
    3    22    0.37   23.29   85.69  108.32   25.80   89.42  110.51
    3    23    0.37   25.80   89.42  110.51   27.90   93.24  112.96
    3    23    0.37   27.90   93.24  112.96   29.36   97.08  115.81
    3    23    0.37   29.36   97.08  115.81   31.22  101.09  118.14
    3    24    0.37   31.22  101.09  118.14   32.83  104.93  120.91
    3    24    0.37   32.83  104.93  120.91   33.84  109.12  123.45
    3    24    0.37   33.84  109.12  123.45   34.60  113.08  126.40
    3    25    0.37   34.60  113.08  126.40   35.55  116.89  129.50
    3    25    0.37   35.55  116.89  129.50   36.01  121.05  132.23
    3    26    0.37   36.01  121.05  132.23   36.59  125.20  134.96
    3    26    0.37   36.59  125.20  134.96   37.48  128.94  138.15
    3    26    0.37   37.48  128.94  138.15   37.89  133.05  140.97
    3    27    0.37   37.89  133.05  140.97   38.25  137.49  143.26
    3    27    0.37   38.25  137.49  143.26   38.33  142.08  145.23
    3    28    0.37   38.33  142.08  145.23   38.33  146.55  147.46
    3    28    0.37   38.33  146.55  147.46   37.61  150.98  149.67
    3    28    0.37   37.61  150.98  149.67   36.98  155.53  151.66
    3    29    0.37   36.98  155.53  151.66   36.08  159.97  153.77
    3    29    0.37   36.08  159.97  153.77   34.95  164.35  155.89
    3    30    0.37   34.95  164.35  155.89   33.47  168.88  157.40
    3    30    0.37   33.47  168.88  157.40   31.71  173.46  158.36
    3    30    0.37   31.71  173.46  158.36   29.94  177.96  159.63
    4    14    0.60  -10.17    3.45   60.49  -13.99    0.23   60.38
    4    14    0.60  -13.99    0.23   60.38  -18.16   -2.49   59.88
    4    15    0.60  -18.16   -2.49   59.88  -22.12   -5.42   59.02
    4    15    0.55  -22.12   -5.42   59.02  -25.66   -8.88   58.32
    4    15    0.55  -25.66   -8.88   58.32  -29.10  -12.45   57.70
    4    16    0.55  -29.10  -12.45   57.70  -32.77  -15.85   57.57
    4    16    0.55  -32.77  -15.85   57.57  -36.18  -19.51   57.46
    4    16    0.55  -36.18  -19.51   57.46  -39.10  -23.55   57.79
    4    17    0.50  -39.10  -23.55   57.79  -42.39  -27.31   57.58
    4    17    0.50  -42.39  -27.31   57.58  -45.86  -30.84   56.83
    4    18    0.50  -45.86  -30.84   56.83  -48.80  -34.77   55.93
    4    18    0.50  -48.80  -34.77   55.93  -52.01  -38.42   54.72
